fraction,model,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
0.001,10.5,98.5,50.0,50.0,50.0,50.0,50.0,50.0
0.005,10.5,98.5,50.0,50.0,51.55,50.75,50.0,50.0
0.01,10.5,98.5,50.0,50.0,52.0,51.475,50.0,50.625
0.05,10.5,98.5,83.3,86.69999999999999,64.825,54.95,51.8,50.375
0.1,10.5,98.5,92.92500000000001,93.175,73.375,66.67500000000001,50.175,51.724999999999994
0.15,10.5,98.5,95.025,93.575,83.325,70.85,53.925,52.125
0.2,10.5,98.5,93.44999999999999,90.85,85.675,73.925,51.425,53.775000000000006
0.25,10.5,98.5,94.05,90.775,89.5,76.175,58.3,53.25
0.3,10.5,98.5,94.15,89.675,92.25,78.25,59.099999999999994,52.75
0.35,10.5,98.5,94.0,88.4,93.725,81.1,52.575,50.724999999999994
0.4,10.5,98.5,94.075,89.92500000000001,94.575,79.725,50.0,50.0
0.45,10.5,98.5,94.95,92.225,95.42500000000001,83.82499999999999,50.0,50.025
0.5,10.5,98.5,96.175,95.92500000000001,97.0,84.05000000000001,50.0,50.175
0.55,10.5,98.5,96.94999999999999,96.82499999999999,96.67500000000001,85.15,50.05,57.875
0.6,10.5,98.5,97.65,96.025,97.175,83.025,50.025,53.349999999999994
0.65,10.5,98.5,98.1,94.67500000000001,97.525,87.375,64.25,66.9
0.7,10.5,98.5,98.225,92.475,97.875,85.075,65.2,62.525000000000006
0.8,10.5,98.5,98.42500000000001,88.0,98.05,87.675,73.25,65.725
0.9,10.5,98.5,98.475,88.225,98.275,87.225,83.15,73.225
1.0,10.5,98.5,98.5,89.25,98.5,89.25,98.5,89.25
