fraction,model,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
0.001,7.0,98.35,50.0,50.0,50.0,50.0,50.0,50.0
0.005,7.0,98.35,50.0,50.0,50.0,50.0,50.0,50.0
0.01,7.0,98.35,50.0,50.0,50.15,50.3,50.0,50.0
0.05,7.0,98.35,50.0,50.0,61.1,53.9,49.95,50.15
0.1,7.0,98.35,58.05,58.05,65.7,56.9,50.0,50.0
0.15,7.0,98.35,81.2,82.6,76.4,61.2,50.95,50.0
0.2,7.0,98.35,87.05,85.05,79.55,64.0,50.05,50.05
0.25,7.0,98.35,85.6,87.05,84.0,65.55,50.0,50.45
0.3,7.0,98.35,89.1,88.7,89.6,65.1,50.0,50.0
0.35,7.0,98.35,89.25,90.3,90.75,71.3,50.0,50.0
0.4,7.0,98.35,90.55,91.65,92.45,67.7,50.0,50.0
0.45,7.0,98.35,93.0,92.95,93.5,66.25,50.0,50.0
0.5,7.0,98.35,94.7,94.6,95.4,68.8,50.0,50.0
0.55,7.0,98.35,96.4,94.9,95.8,67.0,50.0,50.25
0.6,7.0,98.35,97.55,93.8,96.45,63.3,50.0,50.0
0.65,7.0,98.35,97.8,90.4,97.0,71.35,50.0,50.0
0.7,7.0,98.35,98.0,82.7,97.3,60.25,50.0,50.0
0.8,7.0,98.35,98.3,69.9,97.8,61.7,50.0,50.0
0.9,7.0,98.35,98.35,62.0,98.0,60.05,50.0,50.0
1.0,7.0,98.35,98.35,60.8,98.35,60.8,98.35,60.8
