fraction,model,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
0.001,7.0,98.3,50.0,50.0,50.0,50.0,50.0,50.0
0.005,7.0,98.3,50.0,50.0,50.0,50.0,50.0,50.0
0.01,7.0,98.3,50.0,50.0,50.0,50.0,50.0,50.0
0.05,7.0,98.3,50.0,50.0,56.85,52.55,51.75,50.0
0.1,7.0,98.3,85.95,80.7,65.9,57.6,50.25,50.05
0.15,7.0,98.3,88.9,86.8,69.95,56.8,50.65,52.8
0.2,7.0,98.3,90.05,88.95,76.15,60.65,50.0,50.15
0.25,7.0,98.3,90.2,87.8,82.7,63.9,50.0,50.2
0.3,7.0,98.3,90.2,88.8,84.6,64.35,50.0,50.0
0.35,7.0,98.3,92.25,87.25,89.0,62.8,50.0,50.0
0.4,7.0,98.3,93.95,91.2,89.35,66.0,50.0,50.0
0.45,7.0,98.3,94.7,94.3,91.2,67.3,50.0,50.0
0.5,7.0,98.3,95.65,95.2,92.8,63.05,50.05,50.0
0.55,7.0,98.3,96.55,96.35,94.55,67.8,50.05,50.0
0.6,7.0,98.3,97.1,94.2,95.4,70.85,50.0,50.0
0.65,7.0,98.3,97.65,93.0,96.2,69.3,50.0,50.0
0.7,7.0,98.3,97.95,90.65,96.6,71.3,50.0,50.0
0.8,7.0,98.3,98.15,75.7,97.35,74.05,50.0,50.0
0.9,7.0,98.3,98.25,69.4,97.8,74.15,57.15,50.0
1.0,7.0,98.3,98.3,71.9,98.3,71.9,98.3,71.9
