fraction,model,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
0.001,7.25,97.7,50.0,50.0,50.0,50.0,50.0,50.0
0.005,7.25,97.7,50.0,50.0,50.0,50.0,50.0,50.0
0.01,7.25,97.7,50.0,50.0,50.0,50.0,50.0,50.0
0.05,7.25,97.7,50.0,50.0,55.8125,52.3625,50.0,50.0
0.1,7.25,97.7,50.0,50.0,63.162499999999994,57.225,46.912499999999994,48.5375
0.15,7.25,97.7,78.46249999999999,79.89999999999999,67.92500000000001,57.1875,49.1625,47.9625
0.2,7.25,97.7,89.4,88.6125,74.975,60.975,49.1,48.375
0.25,7.25,97.7,89.675,88.375,78.775,64.1875,48.5,48.375
0.3,7.25,97.7,90.16250000000001,89.3625,84.15,64.3625,46.650000000000006,48.6875
0.35,7.25,97.7,92.2625,88.525,86.275,63.2,49.7875,48.45
0.4,7.25,97.7,94.0375,91.3375,88.4875,64.0875,49.8625,49.35
0.45,7.25,97.7,94.7375,94.3375,90.8,66.925,49.75,49.65
0.5,7.25,97.7,95.7125,95.3125,91.1125,62.5625,50.0,50.0
0.55,7.25,97.7,96.5625,96.2375,94.2125,66.2625,50.0,50.0
0.6,7.25,97.7,97.0125,94.35,94.1375,69.3125,50.0,50.0
0.65,7.25,97.7,97.275,93.0,95.8,67.95,50.0,50.0
0.7,7.25,97.7,97.375,90.6875,96.0,71.325,50.0,50.0
0.8,7.25,97.7,97.5625,75.9,96.8,71.9875,50.0,50.0
0.9,7.25,97.7,97.6,69.78750000000001,97.13749999999999,73.925,57.2375,50.0
1.0,7.25,97.7,97.7,71.75,97.7,71.75,97.7,71.75
