fraction,model,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
0.001,14.5,99.38387099613328,49.63557649617533,49.63557649617533,49.63557649617533,49.63557649617533,49.63557649617533,49.63557649617533
0.005,14.5,99.38387099613328,49.63557649617533,49.63557649617533,49.63557649617533,49.63557649617533,49.63557649617533,49.63557649617533
0.01,14.5,99.38387099613328,49.63557649617533,49.63557649617533,49.63557649617533,49.63557649617533,49.63557649617533,49.63557649617533
0.05,14.5,99.38387099613328,50.46637211585665,50.46637211585665,56.713132741493524,52.040989209582875,50.04909180166912,50.46637211585665
0.1,14.5,99.38387099613328,80.53510063819343,91.23985159020276,64.8993618065783,55.69469788983487,50.46637211585665,50.196367206676484
0.15,14.5,99.38387099613328,96.1953853706431,94.29586514032238,68.72362049103536,58.91434262948207,50.46637211585665,50.46637211585665
0.2,14.5,99.38387099613328,97.47859323628413,97.43871837148217,75.28227785959744,61.17791964200146,49.95090819833088,50.39273441335297
0.25,14.5,99.38387099613328,97.55116744607237,97.5852847813459,79.03831409756165,61.904761904761905,50.220913107511045,50.46637211585665
0.3,14.5,99.38387099613328,97.9022545067643,97.80797037671601,83.48060873834069,60.63037980625363,50.46637211585665,50.39273441335297
0.35,14.5,99.38387099613328,98.02711099636798,97.93069988088882,87.50613647520865,62.64093112087732,50.46637211585665,50.04909180166912
0.4,14.5,99.38387099613328,97.95276429872068,97.58634827406132,91.9686985978521,68.83208452395621,49.53362788414335,49.53362788414335
0.45,14.5,99.38387099613328,98.1014576940153,97.70907777823413,91.44543573374642,69.37250996015936,49.53362788414335,49.53362788414335
0.5,14.5,99.38387099613328,98.27505148771627,97.34372524629023,93.21983054527105,68.2927837007395,49.53362788414335,49.53362788414335
0.55,14.5,99.38387099613328,98.4724821871082,95.47185582657099,94.59661354581672,68.27689243027888,49.53362788414335,49.53362788414335
0.6,14.5,99.38387099613328,98.74355058900383,92.16320774829009,94.79626902307317,69.24440187213835,49.53362788414335,49.53362788414335
0.65,14.5,99.38387099613328,98.96481819408667,88.68167487145183,96.53911355070636,68.60629401881917,49.53362788414335,49.53362788414335
0.7,14.5,99.38387099613328,99.08825669340311,84.79039169781356,97.21567827854022,69.80816302781022,49.53362788414335,49.53362788414335
0.8,14.5,99.38387099613328,99.30987879605779,80.92719940072797,98.56924780015922,70.96613545816733,49.53362788414335,49.53362788414335
0.9,14.5,99.38387099613328,99.35897059772691,72.70916334661354,98.84279768505752,67.75398406374502,50.282986854741075,49.53362788414335
1.0,14.5,99.38387099613328,99.38387099613328,71.46414342629481,99.38387099613328,71.46414342629481,99.38387099613328,71.46414342629481
