fraction,model,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
0.001,7.0,91.89285714285714,50.42857142857143,50.42857142857143,50.42857142857143,50.42857142857143,50.42857142857143,50.42857142857143
0.005,7.0,91.89285714285714,50.42857142857143,50.42857142857143,50.42857142857143,50.42857142857143,50.42857142857143,50.42857142857143
0.01,7.0,91.89285714285714,50.42857142857143,50.42857142857143,50.42857142857143,50.42857142857143,50.42857142857143,50.42857142857143
0.05,7.0,91.89285714285714,50.035714285714285,50.035714285714285,50.92857142857143,51.35714285714285,50.392857142857146,50.42857142857143
0.1,7.0,91.89285714285714,49.42857142857143,49.42857142857143,54.0,55.35714285714285,50.32142857142857,50.42857142857143
0.15,7.0,91.89285714285714,54.92857142857143,50.535714285714285,58.46428571428572,60.96428571428572,49.32142857142857,49.57142857142857
0.2,7.0,91.89285714285714,60.46428571428572,61.57142857142857,59.85714285714285,59.75,49.32142857142857,49.25
0.25,7.0,91.89285714285714,65.25,65.82142857142857,62.32142857142857,60.67857142857143,50.42857142857143,49.96428571428572
0.3,7.0,91.89285714285714,78.07142857142857,84.46428571428571,65.92857142857143,66.10714285714286,53.17857142857143,60.71428571428572
0.35,7.0,91.89285714285714,81.17857142857143,86.25,70.32142857142857,69.0,51.0,51.392857142857146
0.4,7.0,91.89285714285714,83.78571428571429,85.82142857142857,73.96428571428571,70.75,51.35714285714285,52.285714285714285
0.45,7.0,91.89285714285714,85.25,85.35714285714286,69.07142857142857,72.17857142857143,70.0,63.892857142857146
0.5,7.0,91.89285714285714,86.89285714285714,85.5,75.03571428571429,75.96428571428571,70.0,68.0
0.55,7.0,91.89285714285714,88.92857142857143,86.57142857142857,75.57142857142857,76.53571428571429,72.25,72.21428571428571
0.6,7.0,91.89285714285714,89.92857142857143,89.10714285714286,79.39285714285714,79.10714285714286,75.71428571428571,73.60714285714286
0.65,7.0,91.89285714285714,90.64285714285714,89.21428571428571,79.28571428571429,80.17857142857143,79.89285714285714,76.0
0.7,7.0,91.89285714285714,90.89285714285714,88.42857142857143,83.07142857142857,81.82142857142857,78.32142857142857,79.14285714285714
0.8,7.0,91.89285714285714,91.42857142857144,86.71428571428571,86.25,83.42857142857143,81.89285714285714,82.53571428571429
0.9,7.0,91.89285714285714,91.85714285714286,87.39285714285714,88.75,84.28571428571429,84.57142857142857,83.32142857142857
1.0,7.0,91.89285714285714,91.89285714285714,84.42857142857143,91.89285714285714,84.42857142857143,91.89285714285714,84.42857142857143
