fraction,model,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
0.001,7.0,86.14285714285714,49.75,49.75,49.75,49.75,49.75,49.75
0.005,7.0,86.14285714285714,49.75,49.75,49.75,49.75,49.75,49.75
0.01,7.0,86.14285714285714,49.75,49.75,49.75,49.75,49.75,49.75
0.05,7.0,86.14285714285714,49.642857142857146,49.642857142857146,51.0,49.642857142857146,49.82142857142857,49.82142857142857
0.1,7.0,86.14285714285714,50.07142857142857,50.07142857142857,51.46428571428572,52.142857142857146,50.42857142857143,50.21428571428572
0.15,7.0,86.14285714285714,46.5,46.285714285714285,54.285714285714285,51.785714285714285,50.71428571428572,54.642857142857146
0.2,7.0,86.14285714285714,52.46428571428572,50.75,53.85714285714285,53.17857142857143,49.92857142857143,50.46428571428572
0.25,7.0,86.14285714285714,51.392857142857146,57.035714285714285,55.82142857142857,54.535714285714285,50.535714285714285,50.42857142857143
0.3,7.0,86.14285714285714,58.96428571428572,57.42857142857143,55.46428571428572,54.57142857142857,52.25,50.642857142857146
0.35,7.0,86.14285714285714,57.57142857142857,57.17857142857143,56.285714285714285,56.85714285714285,50.42857142857143,50.35714285714285
0.4,7.0,86.14285714285714,64.39285714285714,65.28571428571429,57.392857142857146,59.21428571428572,50.392857142857146,50.42857142857143
0.45,7.0,86.14285714285714,65.5,65.78571428571429,58.57142857142857,59.82142857142857,57.392857142857146,54.46428571428572
0.5,7.0,86.14285714285714,72.75,71.75,60.535714285714285,60.75,61.71428571428572,57.57142857142857
0.55,7.0,86.14285714285714,76.53571428571429,67.78571428571429,63.35714285714285,62.035714285714285,63.75,56.892857142857146
0.6,7.0,86.14285714285714,81.03571428571429,71.53571428571429,64.82142857142857,62.535714285714285,62.035714285714285,56.25
0.65,7.0,86.14285714285714,81.60714285714286,70.10714285714286,63.642857142857146,64.0,60.42857142857143,58.892857142857146
0.7,7.0,86.14285714285714,83.5,69.5,66.10714285714286,66.0,67.35714285714286,63.21428571428572
0.8,7.0,86.14285714285714,84.42857142857143,72.75,71.75,66.64285714285714,64.10714285714286,66.28571428571429
0.9,7.0,86.14285714285714,85.0,71.10714285714286,76.78571428571429,69.17857142857143,65.71428571428571,63.21428571428572
1.0,7.0,86.14285714285714,86.14285714285714,65.07142857142857,86.14285714285714,65.07142857142857,86.14285714285714,65.07142857142857
