fraction,model,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
0.001,7.0,100.0,49.67857142857143,49.67857142857143,49.67857142857143,49.67857142857143,49.67857142857143,49.67857142857143
0.005,7.0,100.0,49.67857142857143,49.67857142857143,49.67857142857143,49.67857142857143,49.67857142857143,49.67857142857143
0.01,7.0,100.0,49.67857142857143,49.67857142857143,49.67857142857143,49.67857142857143,49.67857142857143,49.67857142857143
0.05,7.0,100.0,50.785714285714285,50.785714285714285,52.142857142857146,53.25,50.535714285714285,50.21428571428572
0.1,7.0,100.0,50.892857142857146,81.57142857142857,57.42857142857143,57.642857142857146,50.785714285714285,50.785714285714285
0.15,7.0,100.0,75.32142857142857,90.75,71.28571428571429,58.285714285714285,50.35714285714285,50.35714285714285
0.2,7.0,100.0,98.17857142857144,99.07142857142856,80.53571428571429,73.17857142857143,50.035714285714285,50.785714285714285
0.25,7.0,100.0,99.92857142857144,100.0,85.35714285714286,79.03571428571429,50.785714285714285,50.67857142857143
0.3,7.0,100.0,100.0,99.60714285714286,88.57142857142857,80.57142857142857,50.35714285714285,50.67857142857143
0.35,7.0,100.0,100.0,99.92857142857144,89.85714285714286,87.46428571428571,50.535714285714285,50.82142857142857
0.4,7.0,100.0,100.0,99.92857142857144,94.14285714285714,87.42857142857143,51.25,51.60714285714285
0.45,7.0,100.0,99.75,99.96428571428572,96.82142857142856,90.14285714285714,50.892857142857146,50.85714285714285
0.5,7.0,100.0,99.82142857142856,99.96428571428572,96.46428571428572,97.25,51.46428571428572,51.46428571428572
0.55,7.0,100.0,99.96428571428572,100.0,98.57142857142856,96.71428571428572,62.0,64.92857142857143
0.6,7.0,100.0,100.0,99.96428571428572,99.14285714285714,98.53571428571428,70.71428571428571,98.10714285714286
0.65,7.0,100.0,100.0,99.96428571428572,99.60714285714286,98.35714285714286,90.28571428571428,85.71428571428571
0.7,7.0,100.0,100.0,99.92857142857144,99.75,99.53571428571428,96.14285714285714,89.07142857142857
0.8,7.0,100.0,100.0,99.92857142857144,100.0,99.67857142857144,99.42857142857144,97.67857142857144
0.9,7.0,100.0,100.0,99.92857142857144,99.92857142857144,99.82142857142856,99.89285714285714,99.14285714285714
1.0,7.0,100.0,100.0,99.92857142857144,100.0,99.92857142857144,100.0,99.92857142857144
