fraction,model,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
0.001,10.5,100.0,50.51785714285714,50.51785714285714,50.51785714285714,50.51785714285714,50.51785714285714,50.51785714285714
0.005,10.5,100.0,50.51785714285714,50.51785714285714,50.51785714285714,50.51785714285714,50.51785714285714,50.51785714285714
0.01,10.5,100.0,50.51785714285714,50.51785714285714,50.51785714285714,50.51785714285714,50.51785714285714,50.51785714285714
0.05,10.5,100.0,51.017857142857146,51.017857142857146,52.25,51.625,50.714285714285715,50.714285714285715
0.1,10.5,100.0,51.41071428571429,51.69642857142858,53.785714285714285,53.67857142857142,51.41071428571429,51.41071428571429
0.15,10.5,100.0,99.41071428571429,99.73214285714286,60.08928571428571,58.67857142857142,50.125,49.94642857142857
0.2,10.5,100.0,99.96428571428572,99.82142857142858,61.785714285714285,59.73214285714286,61.75,51.73214285714286
0.25,10.5,100.0,99.69642857142857,99.78571428571428,63.08928571428571,61.44642857142857,50.73214285714286,50.67857142857143
0.3,10.5,100.0,99.98214285714286,100.0,66.75,64.01785714285714,50.42857142857142,50.964285714285715
0.35,10.5,100.0,99.98214285714286,99.94642857142857,68.14285714285714,68.76785714285714,50.714285714285715,51.73214285714286
0.4,10.5,100.0,100.0,99.91071428571428,73.14285714285714,65.25,63.92857142857143,51.73214285714286
0.45,10.5,100.0,99.98214285714286,99.98214285714286,74.46428571428572,67.30357142857143,51.35714285714286,51.30357142857143
0.5,10.5,100.0,100.0,100.0,78.85714285714286,73.01785714285714,52.0,51.875
0.55,10.5,100.0,100.0,100.0,79.78571428571428,77.30357142857143,52.017857142857146,52.07142857142857
0.6,10.5,100.0,100.0,100.0,83.89285714285714,80.01785714285714,54.642857142857146,62.5
0.65,10.5,100.0,100.0,99.94642857142857,92.19642857142857,79.67857142857142,63.75000000000001,52.0
0.7,10.5,100.0,100.0,99.94642857142857,89.80357142857143,85.44642857142857,60.51785714285714,94.39285714285715
0.8,10.5,100.0,100.0,99.80357142857143,96.28571428571429,89.53571428571429,79.96428571428572,68.28571428571428
0.9,10.5,100.0,100.0,99.75,99.80357142857142,96.32142857142857,98.51785714285714,65.35714285714286
1.0,10.5,100.0,100.0,99.78571428571429,100.0,99.78571428571429,100.0,99.78571428571429
