fraction,model,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
0.001,3.5,100.0,49.57142857142858,49.57142857142858,49.57142857142858,49.57142857142858,49.57142857142858,49.57142857142858
0.005,3.5,100.0,49.67857142857143,49.67857142857143,52.25,50.67857142857142,43.75,43.76785714285714
0.01,3.5,100.0,50.85714285714286,50.85714285714286,54.017857142857146,52.55357142857142,49.32142857142857,47.5
0.05,3.5,100.0,98.89285714285715,99.42857142857144,74.08928571428572,75.41071428571428,38.67857142857143,43.964285714285715
0.1,3.5,100.0,100.0,100.0,86.875,84.26785714285714,31.089285714285715,31.107142857142858
0.15,3.5,100.0,100.0,100.0,93.19642857142857,90.0,49.44642857142858,50.160714285714285
0.2,3.5,100.0,100.0,100.0,95.94642857142857,91.96428571428571,54.19642857142857,51.76785714285714
0.25,3.5,100.0,100.0,100.0,97.89285714285714,92.71428571428571,66.16071428571429,52.375
0.3,3.5,100.0,100.0,100.0,98.64285714285714,95.80357142857143,69.07142857142857,52.375
0.35,3.5,100.0,100.0,100.0,99.89285714285714,97.69642857142858,97.53571428571429,72.10714285714286
0.4,3.5,100.0,100.0,100.0,100.0,99.375,75.89285714285714,73.41071428571429
0.45,3.5,100.0,100.0,100.0,99.76785714285714,99.375,51.625,81.58928571428572
0.5,3.5,100.0,100.0,100.0,100.0,99.76785714285714,62.25,93.76785714285714
0.55,3.5,100.0,100.0,100.0,100.0,99.26785714285714,76.58928571428572,94.80357142857143
0.6,3.5,100.0,100.0,100.0,100.0,99.92857142857144,81.33928571428572,86.03571428571428
0.65,3.5,100.0,100.0,100.0,100.0,99.875,75.53571428571428,75.71428571428572
0.7,3.5,100.0,100.0,100.0,100.0,99.98214285714286,86.25,83.19642857142858
0.8,3.5,100.0,100.0,100.0,100.0,99.98214285714286,98.64285714285714,95.91071428571429
0.9,3.5,100.0,100.0,100.0,100.0,100.0,99.98214285714286,99.92857142857143
1.0,3.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0
