fraction,model,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
0.001,7.0,100.0,49.92857142857143,49.92857142857143,49.92857142857143,49.92857142857143,49.92857142857143,49.92857142857143
0.005,7.0,100.0,49.92857142857143,49.92857142857143,49.92857142857143,49.92857142857143,49.92857142857143,49.92857142857143
0.01,7.0,100.0,49.92857142857143,49.92857142857143,49.92857142857143,49.92857142857143,49.92857142857143,49.92857142857143
0.05,7.0,100.0,100.0,100.0,67.32142857142857,63.07142857142857,50.07142857142857,50.07142857142857
0.1,7.0,100.0,100.0,100.0,79.85714285714286,77.82142857142857,49.785714285714285,49.785714285714285
0.15,7.0,100.0,100.0,100.0,85.39285714285714,84.75,49.785714285714285,50.142857142857146
0.2,7.0,100.0,100.0,100.0,93.21428571428572,94.46428571428572,49.92857142857143,49.785714285714285
0.25,7.0,100.0,100.0,100.0,97.25,93.28571428571428,50.142857142857146,50.142857142857146
0.3,7.0,100.0,100.0,100.0,97.67857142857144,95.39285714285714,84.17857142857143,50.142857142857146
0.35,7.0,100.0,100.0,100.0,98.07142857142856,97.92857142857144,100.0,100.0
0.4,7.0,100.0,100.0,100.0,100.0,97.67857142857144,100.0,100.0
0.45,7.0,100.0,100.0,100.0,100.0,99.78571428571428,99.96428571428572,100.0
0.5,7.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.55,7.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.6,7.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.65,7.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.7,7.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.8,7.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.9,7.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1.0,7.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
