fraction,model,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
0.001,7.0,83.8,50.266666666666666,50.266666666666666,50.266666666666666,50.266666666666666,50.266666666666666,50.266666666666666
0.005,7.0,83.8,50.266666666666666,50.266666666666666,50.266666666666666,50.266666666666666,50.266666666666666,50.266666666666666
0.01,7.0,83.8,50.53333333333333,50.56666666666667,50.4,50.13333333333333,50.03333333333333,50.03333333333333
0.05,7.0,83.8,55.1,54.8,50.66666666666666,51.0,49.8,49.93333333333333
0.1,7.0,83.8,57.43333333333333,59.46666666666667,51.16666666666666,51.23333333333333,49.833333333333336,50.16666666666666
0.15,7.0,83.8,63.73333333333333,62.7,52.06666666666667,51.7,49.73333333333333,49.8
0.2,7.0,83.8,66.1,63.53333333333333,52.9,52.0,49.5,50.03333333333333
0.25,7.0,83.8,69.6,65.33333333333333,54.2,53.7,50.0,49.86666666666667
0.3,7.0,83.8,69.9,65.33333333333333,55.63333333333333,54.0,50.23333333333333,49.766666666666666
0.35,7.0,83.8,71.86666666666666,66.66666666666667,54.766666666666666,55.13333333333333,50.766666666666666,50.766666666666666
0.4,7.0,83.8,76.93333333333334,71.23333333333333,56.73333333333333,56.16666666666666,53.16666666666666,51.46666666666667
0.45,7.0,83.8,77.8,73.76666666666667,57.833333333333336,56.53333333333333,52.53333333333333,51.66666666666666
0.5,7.0,83.8,78.83333333333333,72.9,59.1,58.2,55.16666666666666,53.43333333333333
0.55,7.0,83.8,79.73333333333333,73.63333333333334,60.333333333333336,57.96666666666667,55.23333333333333,54.6
0.6,7.0,83.8,80.76666666666667,74.73333333333333,60.56666666666667,59.833333333333336,57.266666666666666,57.2
0.65,7.0,83.8,81.8,74.53333333333333,62.3,59.8,58.8,55.833333333333336
0.7,7.0,83.8,82.46666666666667,77.46666666666667,66.3,62.46666666666667,60.53333333333333,57.6
0.8,7.0,83.8,83.13333333333334,78.3,69.53333333333333,64.36666666666666,66.26666666666667,61.43333333333333
0.9,7.0,83.8,83.66666666666667,75.9,75.7,67.96666666666667,70.56666666666666,66.03333333333333
1.0,7.0,83.8,83.8,72.2,83.8,72.2,83.8,72.2
