fraction,model,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
0.001,7.0,100.0,49.75,49.75,49.75,49.75,49.75,49.75
0.005,7.0,100.0,49.75,49.75,49.75,49.75,49.75,49.75
0.01,7.0,100.0,49.75,49.75,49.75,49.75,49.75,49.75
0.05,7.0,100.0,50.17857142857143,50.17857142857143,52.60714285714285,52.67857142857143,49.67857142857143,49.67857142857143
0.1,7.0,100.0,70.42857142857143,68.46428571428571,54.285714285714285,55.92857142857143,49.67857142857143,51.07142857142857
0.15,7.0,100.0,69.17857142857143,53.46428571428572,58.92857142857143,56.96428571428572,49.67857142857143,29.142857142857142
0.2,7.0,100.0,68.82142857142857,52.32142857142857,58.535714285714285,55.892857142857146,50.32142857142857,48.785714285714285
0.25,7.0,100.0,72.42857142857143,69.14285714285714,63.17857142857143,61.0,51.21428571428572,50.32142857142857
0.3,7.0,100.0,82.42857142857143,86.25,65.67857142857143,61.392857142857146,52.42857142857143,51.035714285714285
0.35,7.0,100.0,89.57142857142857,86.42857142857143,67.0,65.07142857142857,51.42857142857143,53.46428571428572
0.4,7.0,100.0,95.82142857142856,80.57142857142857,68.42857142857143,64.82142857142857,62.82142857142857,49.785714285714285
0.45,7.0,100.0,98.32142857142856,88.60714285714286,72.64285714285714,67.75,50.785714285714285,51.07142857142857
0.5,7.0,100.0,99.46428571428572,83.17857142857143,74.78571428571429,70.5,49.75,49.67857142857143
0.55,7.0,100.0,99.78571428571428,83.25,76.25,70.25,50.785714285714285,48.25
0.6,7.0,100.0,99.75,81.39285714285714,79.5,72.5,52.07142857142857,50.785714285714285
0.65,7.0,100.0,99.89285714285714,79.71428571428571,82.10714285714286,71.96428571428571,55.785714285714285,49.67857142857143
0.7,7.0,100.0,99.89285714285714,77.71428571428571,83.64285714285714,74.78571428571429,63.642857142857146,50.67857142857143
0.8,7.0,100.0,99.96428571428572,78.28571428571429,89.75,75.60714285714286,74.35714285714286,63.42857142857143
0.9,7.0,100.0,100.0,74.21428571428571,95.32142857142856,76.14285714285714,78.14285714285714,71.67857142857143
1.0,7.0,100.0,100.0,77.32142857142857,100.0,77.32142857142857,100.0,77.32142857142857
