fraction,model,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
0.001,7.0,99.92857142857144,49.535714285714285,49.535714285714285,49.535714285714285,49.535714285714285,49.535714285714285,49.535714285714285
0.005,7.0,99.92857142857144,49.535714285714285,49.535714285714285,49.535714285714285,49.535714285714285,49.535714285714285,49.535714285714285
0.01,7.0,99.92857142857144,49.60714285714285,49.60714285714285,49.535714285714285,49.60714285714285,49.60714285714285,49.60714285714285
0.05,7.0,99.92857142857144,49.82142857142857,49.82142857142857,53.035714285714285,52.142857142857146,49.32142857142857,49.46428571428572
0.1,7.0,99.92857142857144,71.53571428571429,69.46428571428571,57.60714285714285,56.642857142857146,50.535714285714285,52.60714285714285
0.15,7.0,99.92857142857144,71.53571428571429,71.28571428571429,60.35714285714285,58.17857142857143,50.35714285714285,50.71428571428572
0.2,7.0,99.92857142857144,75.28571428571429,71.5,61.642857142857146,63.0,51.285714285714285,50.35714285714285
0.25,7.0,99.92857142857144,80.42857142857143,73.5,66.03571428571429,64.35714285714286,50.0,54.21428571428572
0.3,7.0,99.92857142857144,86.82142857142857,76.35714285714286,68.0,65.35714285714286,51.71428571428572,54.785714285714285
0.35,7.0,99.92857142857144,96.28571428571428,66.57142857142857,69.78571428571429,64.42857142857143,49.60714285714285,50.21428571428572
0.4,7.0,99.92857142857144,97.85714285714286,80.53571428571429,74.35714285714286,67.75,56.07142857142857,49.60714285714285
0.45,7.0,99.92857142857144,99.28571428571428,85.92857142857143,73.5,69.67857142857143,49.92857142857143,49.60714285714285
0.5,7.0,99.92857142857144,99.39285714285714,79.0,77.0,73.32142857142857,49.92857142857143,49.535714285714285
0.55,7.0,99.92857142857144,99.64285714285714,80.39285714285714,79.92857142857143,72.10714285714286,54.10714285714285,50.0
0.6,7.0,99.92857142857144,99.75,80.92857142857143,82.21428571428571,72.78571428571429,59.60714285714285,50.0
0.65,7.0,99.92857142857144,99.78571428571428,82.28571428571429,84.25,72.42857142857143,59.46428571428572,53.42857142857143
0.7,7.0,99.92857142857144,99.78571428571428,79.96428571428571,85.96428571428571,75.60714285714286,67.07142857142857,59.642857142857146
0.8,7.0,99.92857142857144,99.82142857142856,72.42857142857143,92.28571428571428,78.0,70.92857142857143,66.64285714285714
0.9,7.0,99.92857142857144,99.89285714285714,69.57142857142857,97.0,76.57142857142857,82.57142857142857,73.25
1.0,7.0,99.92857142857144,99.92857142857144,76.96428571428571,99.92857142857144,76.96428571428571,99.92857142857144,76.96428571428571
