fraction,model,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
0.001,3.5,97.17857142857143,49.25,49.25,49.25,49.25,49.25,49.25
0.005,3.5,97.17857142857143,49.25,49.25,49.25,49.25,49.25,49.25
0.01,3.5,97.17857142857143,49.25,49.25,49.25,49.25,49.25,49.25
0.05,3.5,97.17857142857143,49.25,49.25,49.35714285714286,48.910714285714285,49.44642857142857,49.19642857142858
0.1,3.5,97.17857142857143,49.25,49.25,49.85714285714286,49.92857142857143,49.57142857142858,48.33928571428571
0.15,3.5,97.17857142857143,49.25,49.25,50.89285714285714,51.017857142857146,49.75,48.94642857142858
0.2,3.5,97.17857142857143,49.25,49.25,51.42857142857143,51.875,48.71428571428572,48.767857142857146
0.25,3.5,97.17857142857143,49.25,49.25,53.19642857142858,52.92857142857143,49.64285714285714,49.35714285714286
0.3,3.5,97.17857142857143,49.25,49.25,53.589285714285715,52.875,48.73214285714286,48.23214285714286
0.35,3.5,97.17857142857143,49.25,49.25,54.53571428571429,52.53571428571429,49.48214285714286,47.80357142857143
0.4,3.5,97.17857142857143,49.25,49.25,55.32142857142857,53.35714285714286,49.60714285714285,49.5
0.45,3.5,97.17857142857143,49.25,49.25,55.98214285714286,53.03571428571429,49.85714285714285,49.85714285714285
0.5,3.5,97.17857142857143,49.25,49.375,58.83928571428571,51.660714285714285,49.60714285714285,49.5
0.55,3.5,97.17857142857143,49.25,50.375,58.82142857142858,51.35714285714286,49.60714285714285,49.5
0.6,3.5,97.17857142857143,49.25,64.91071428571428,60.01785714285714,50.94642857142858,49.60714285714285,49.85714285714285
0.65,3.5,97.17857142857143,49.375,51.42857142857143,62.98214285714286,50.642857142857146,49.60714285714285,49.58928571428571
0.7,3.5,97.17857142857143,49.76785714285714,50.19642857142857,62.94642857142857,50.42857142857143,51.14285714285714,49.85714285714285
0.8,3.5,97.17857142857143,77.44642857142857,49.60714285714285,70.03571428571428,50.0,54.92857142857143,50.160714285714285
0.9,3.5,97.17857142857143,94.60714285714286,49.60714285714285,78.26785714285714,49.85714285714285,62.85714285714286,50.035714285714285
1.0,3.5,97.17857142857143,97.17857142857143,49.60714285714285,97.17857142857143,49.60714285714285,97.17857142857143,49.60714285714285
