fraction,model,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
0.001,7.0,97.96428571428572,50.5,50.5,50.5,50.5,50.5,50.5
0.005,7.0,97.96428571428572,50.5,50.5,50.5,50.5,50.5,50.5
0.01,7.0,97.96428571428572,50.5,50.5,50.5,50.5,50.5,50.5
0.05,7.0,97.96428571428572,50.5,50.5,50.25,50.17857142857143,50.5,49.96428571428572
0.1,7.0,97.96428571428572,50.5,50.5,49.92857142857143,50.5,49.82142857142857,49.96428571428572
0.15,7.0,97.96428571428572,50.5,50.5,50.85714285714285,50.17857142857143,49.785714285714285,50.142857142857146
0.2,7.0,97.96428571428572,50.5,50.5,51.17857142857143,51.785714285714285,49.92857142857143,49.892857142857146
0.25,7.0,97.96428571428572,50.5,50.5,53.142857142857146,52.21428571428572,49.85714285714285,49.642857142857146
0.3,7.0,97.96428571428572,50.5,50.5,53.32142857142857,52.35714285714285,49.5,49.67857142857143
0.35,7.0,97.96428571428572,50.5,50.5,53.71428571428572,53.392857142857146,49.92857142857143,49.57142857142857
0.4,7.0,97.96428571428572,50.5,50.5,54.42857142857143,52.642857142857146,49.5,49.285714285714285
0.45,7.0,97.96428571428572,50.5,50.5,56.07142857142857,53.71428571428572,50.285714285714285,49.5
0.5,7.0,97.96428571428572,50.5,50.71428571428572,57.25,52.535714285714285,49.75,49.5
0.55,7.0,97.96428571428572,50.5,51.07142857142857,58.46428571428572,54.17857142857143,50.21428571428572,49.5
0.6,7.0,97.96428571428572,50.5,56.07142857142857,60.42857142857143,52.785714285714285,50.67857142857143,49.35714285714285
0.65,7.0,97.96428571428572,50.5,59.17857142857143,60.035714285714285,53.142857142857146,55.71428571428572,49.35714285714285
0.7,7.0,97.96428571428572,50.71428571428572,59.5,62.07142857142857,52.21428571428572,58.535714285714285,49.5
0.8,7.0,97.96428571428572,62.67857142857143,50.92857142857143,66.82142857142857,51.0,55.57142857142857,50.35714285714285
0.9,7.0,97.96428571428572,91.32142857142856,50.35714285714285,72.5,50.35714285714285,63.10714285714285,50.21428571428572
1.0,7.0,97.96428571428572,97.96428571428572,49.5,97.96428571428572,49.5,97.96428571428572,49.5
