fraction,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
1,98.1,98.1,93.6,98.1,93.6,98.1,93.6
0.9,98.1,98.1,93.45,98.1,93.75,83.95,84.65
0.8,98.1,98.05,95.15,98.05,93.55,83.75,85.0
0.7,98.1,98.05,96.05,98.0,91.75,84.45,81.75
0.65,98.1,98.0,96.25,97.5,91.8,79.9,78.6
0.6,98.1,97.7,96.5,97.75,90.6,81.75,73.55
0.55,98.1,97.4,94.85,97.25,91.95,54.35,50.0
0.5,98.1,96.7,92.3,96.65,91.95,49.95,50.0
0.45,98.1,96.7,92.85,96.65,90.4,50.0,50.0
0.4,98.1,96.55,94.6,95.4,91.2,49.9,50.0
0.35,98.1,95.9,93.9,95.05,87.0,49.9,50.0
0.3,98.1,94.7,93.15,88.85,81.7,50.1,50.1
0.25,98.1,93.7,93.25,91.05,77.0,50.05,50.05
0.2,98.1,93.35,94.5,86.0,75.5,50.05,50.0
0.15,98.1,85.75,82.8,68.35,73.15,50.0,49.4
0.1,98.1,75.35,70.15,67.55,69.45,47.25,49.35
0.05,98.1,59.65,56.05,57.45,56.2,49.95,49.95
0.01,98.1,50.0,50.0,48.0,50.3,50.0,50.0
0.005,98.1,50.0,50.0,51.15,49.9,50.0,50.0
0.001,98.1,50.0,50.0,50.0,50.0,50.0,50.0
