Epoch [8/10], Step [1/94], Loss: 0.0202, Train Acc: 99.22%, Test Acc: 98.00%
Epoch [8/10], Step [2/94], Loss: 0.0404, Train Acc: 98.44%, Test Acc: 97.95%
Epoch [8/10], Step [3/94], Loss: 0.0070, Train Acc: 98.96%, Test Acc: 97.95%
Epoch [8/10], Step [4/94], Loss: 0.0243, Train Acc: 99.02%, Test Acc: 97.95%
Epoch [8/10], Step [5/94], Loss: 0.0678, Train Acc: 98.75%, Test Acc: 97.90%
Epoch [8/10], Step [6/94], Loss: 0.0207, Train Acc: 98.83%, Test Acc: 97.85%
Epoch [8/10], Step [7/94], Loss: 0.0130, Train Acc: 99.00%, Test Acc: 97.85%
Epoch [8/10], Step [8/94], Loss: 0.0060, Train Acc: 99.12%, Test Acc: 97.85%
Epoch [8/10], Step [9/94], Loss: 0.0084, Train Acc: 99.22%, Test Acc: 97.85%
Epoch [8/10], Step [10/94], Loss: 0.0389, Train Acc: 99.14%, Test Acc: 97.90%
Epoch [8/10], Step [11/94], Loss: 0.0127, Train Acc: 99.15%, Test Acc: 97.90%
Epoch [8/10], Step [12/94], Loss: 0.0213, Train Acc: 99.15%, Test Acc: 98.00%
Epoch [8/10], Step [13/94], Loss: 0.0155, Train Acc: 99.22%, Test Acc: 98.00%
Epoch [8/10], Step [14/94], Loss: 0.0379, Train Acc: 99.11%, Test Acc: 98.05%
Epoch [8/10], Step [15/94], Loss: 0.0282, Train Acc: 99.06%, Test Acc: 98.05%
Epoch [8/10], Step [16/94], Loss: 0.0726, Train Acc: 98.97%, Test Acc: 98.15%
Epoch [8/10], Step [17/94], Loss: 0.0387, Train Acc: 98.99%, Test Acc: 98.10%
Epoch [8/10], Step [18/94], Loss: 0.0318, Train Acc: 99.00%, Test Acc: 98.05%
Epoch [8/10], Step [19/94], Loss: 0.0242, Train Acc: 99.01%, Test Acc: 98.15%
Epoch [8/10], Step [20/94], Loss: 0.0666, Train Acc: 98.95%, Test Acc: 98.25%
Epoch [8/10], Step [21/94], Loss: 0.0426, Train Acc: 98.88%, Test Acc: 98.25%
Epoch [8/10], Step [22/94], Loss: 0.0130, Train Acc: 98.93%, Test Acc: 98.20%
Epoch [8/10], Step [23/94], Loss: 0.0344, Train Acc: 98.95%, Test Acc: 98.25%
Epoch [8/10], Step [24/94], Loss: 0.0247, Train Acc: 98.96%, Test Acc: 98.20%
Epoch [8/10], Step [25/94], Loss: 0.0191, Train Acc: 99.00%, Test Acc: 98.15%
Epoch [8/10], Step [26/94], Loss: 0.0171, Train Acc: 99.01%, Test Acc: 98.20%
Epoch [8/10], Step [27/94], Loss: 0.0210, Train Acc: 99.02%, Test Acc: 98.15%
Epoch [8/10], Step [28/94], Loss: 0.0243, Train Acc: 99.02%, Test Acc: 98.20%
Epoch [8/10], Step [29/94], Loss: 0.0198, Train Acc: 99.06%, Test Acc: 98.20%
Epoch [8/10], Step [30/94], Loss: 0.0226, Train Acc: 99.09%, Test Acc: 98.25%
Epoch [8/10], Step [31/94], Loss: 0.0252, Train Acc: 99.12%, Test Acc: 98.20%
Epoch [8/10], Step [32/94], Loss: 0.0123, Train Acc: 99.15%, Test Acc: 98.20%
Epoch [8/10], Step [33/94], Loss: 0.0220, Train Acc: 99.15%, Test Acc: 98.25%
Epoch [8/10], Step [34/94], Loss: 0.0083, Train Acc: 99.17%, Test Acc: 98.20%
Epoch [8/10], Step [35/94], Loss: 0.0207, Train Acc: 99.17%, Test Acc: 98.20%
Epoch [8/10], Step [36/94], Loss: 0.0145, Train Acc: 99.18%, Test Acc: 98.20%
Epoch [8/10], Step [37/94], Loss: 0.0243, Train Acc: 99.16%, Test Acc: 98.20%
Epoch [8/10], Step [38/94], Loss: 0.0311, Train Acc: 99.14%, Test Acc: 98.20%
Epoch [8/10], Step [39/94], Loss: 0.0465, Train Acc: 99.12%, Test Acc: 98.15%
Epoch [8/10], Step [40/94], Loss: 0.0114, Train Acc: 99.14%, Test Acc: 98.15%
Epoch [8/10], Step [41/94], Loss: 0.0048, Train Acc: 99.16%, Test Acc: 98.10%
Epoch [8/10], Step [42/94], Loss: 0.0179, Train Acc: 99.18%, Test Acc: 98.10%
Epoch [8/10], Step [43/94], Loss: 0.0212, Train Acc: 99.16%, Test Acc: 98.05%
Epoch [8/10], Step [44/94], Loss: 0.0028, Train Acc: 99.18%, Test Acc: 98.05%
Epoch [8/10], Step [45/94], Loss: 0.0074, Train Acc: 99.20%, Test Acc: 98.05%
Epoch [8/10], Step [46/94], Loss: 0.0224, Train Acc: 99.20%, Test Acc: 98.05%
Epoch [8/10], Step [47/94], Loss: 0.0657, Train Acc: 99.17%, Test Acc: 98.10%
Epoch [8/10], Step [48/94], Loss: 0.0240, Train Acc: 99.15%, Test Acc: 98.10%
Epoch [8/10], Step [49/94], Loss: 0.0182, Train Acc: 99.17%, Test Acc: 98.10%
Epoch [8/10], Step [50/94], Loss: 0.0063, Train Acc: 99.19%, Test Acc: 98.10%
Epoch [8/10], Step [51/94], Loss: 0.0365, Train Acc: 99.19%, Test Acc: 98.10%
Epoch [8/10], Step [52/94], Loss: 0.0034, Train Acc: 99.20%, Test Acc: 98.10%
Epoch [8/10], Step [53/94], Loss: 0.0129, Train Acc: 99.20%, Test Acc: 98.10%
Epoch [8/10], Step [54/94], Loss: 0.0182, Train Acc: 99.20%, Test Acc: 98.15%
Epoch [8/10], Step [55/94], Loss: 0.0559, Train Acc: 99.19%, Test Acc: 98.15%
Epoch [8/10], Step [56/94], Loss: 0.0273, Train Acc: 99.19%, Test Acc: 98.10%
Epoch [8/10], Step [57/94], Loss: 0.0330, Train Acc: 99.19%, Test Acc: 98.05%
Epoch [8/10], Step [58/94], Loss: 0.0091, Train Acc: 99.21%, Test Acc: 98.05%
Epoch [8/10], Step [59/94], Loss: 0.0146, Train Acc: 99.21%, Test Acc: 98.05%
Epoch [8/10], Step [60/94], Loss: 0.0284, Train Acc: 99.21%, Test Acc: 98.05%
Epoch [8/10], Step [61/94], Loss: 0.0396, Train Acc: 99.21%, Test Acc: 98.05%
Epoch [8/10], Step [62/94], Loss: 0.0176, Train Acc: 99.21%, Test Acc: 98.05%
Epoch [8/10], Step [63/94], Loss: 0.0156, Train Acc: 99.19%, Test Acc: 98.05%
Epoch [8/10], Step [64/94], Loss: 0.0306, Train Acc: 99.19%, Test Acc: 98.10%
Epoch [8/10], Step [65/94], Loss: 0.0487, Train Acc: 99.17%, Test Acc: 98.00%
Epoch [8/10], Step [66/94], Loss: 0.0416, Train Acc: 99.17%, Test Acc: 98.00%
Epoch [8/10], Step [67/94], Loss: 0.0104, Train Acc: 99.18%, Test Acc: 98.15%
Epoch [8/10], Step [68/94], Loss: 0.0471, Train Acc: 99.17%, Test Acc: 98.15%
Epoch [8/10], Step [69/94], Loss: 0.0340, Train Acc: 99.17%, Test Acc: 98.15%
Epoch [8/10], Step [70/94], Loss: 0.0161, Train Acc: 99.19%, Test Acc: 98.10%
Epoch [8/10], Step [71/94], Loss: 0.0165, Train Acc: 99.19%, Test Acc: 98.10%
Epoch [8/10], Step [72/94], Loss: 0.0151, Train Acc: 99.20%, Test Acc: 98.00%
Epoch [8/10], Step [73/94], Loss: 0.0047, Train Acc: 99.21%, Test Acc: 98.10%
Epoch [8/10], Step [74/94], Loss: 0.0198, Train Acc: 99.21%, Test Acc: 98.15%
Epoch [8/10], Step [75/94], Loss: 0.0292, Train Acc: 99.20%, Test Acc: 98.20%
Epoch [8/10], Step [76/94], Loss: 0.0199, Train Acc: 99.20%, Test Acc: 98.20%
Epoch [8/10], Step [77/94], Loss: 0.0240, Train Acc: 99.20%, Test Acc: 98.20%
Epoch [8/10], Step [78/94], Loss: 0.0229, Train Acc: 99.20%, Test Acc: 98.15%
Epoch [8/10], Step [79/94], Loss: 0.0316, Train Acc: 99.19%, Test Acc: 98.15%
Epoch [8/10], Step [80/94], Loss: 0.0079, Train Acc: 99.20%, Test Acc: 98.15%
Epoch [8/10], Step [81/94], Loss: 0.0207, Train Acc: 99.20%, Test Acc: 98.15%
Epoch [8/10], Step [82/94], Loss: 0.0466, Train Acc: 99.18%, Test Acc: 98.15%
Epoch [8/10], Step [83/94], Loss: 0.0468, Train Acc: 99.17%, Test Acc: 98.20%
Epoch [8/10], Step [84/94], Loss: 0.0674, Train Acc: 99.14%, Test Acc: 98.25%
Epoch [8/10], Step [85/94], Loss: 0.0649, Train Acc: 99.15%, Test Acc: 98.35%
Epoch [8/10], Step [86/94], Loss: 0.0201, Train Acc: 99.15%, Test Acc: 98.25%
Epoch [8/10], Step [87/94], Loss: 0.0255, Train Acc: 99.15%, Test Acc: 98.20%
Epoch [8/10], Step [88/94], Loss: 0.0244, Train Acc: 99.15%, Test Acc: 98.25%
Epoch [8/10], Step [89/94], Loss: 0.0547, Train Acc: 99.13%, Test Acc: 98.30%
Epoch [8/10], Step [90/94], Loss: 0.0166, Train Acc: 99.13%, Test Acc: 98.40%
Epoch [8/10], Step [91/94], Loss: 0.0346, Train Acc: 99.13%, Test Acc: 98.45%
Epoch [8/10], Step [92/94], Loss: 0.0185, Train Acc: 99.14%, Test Acc: 98.30%
Epoch [8/10], Step [93/94], Loss: 0.0367, Train Acc: 99.13%, Test Acc: 98.35%
Epoch [8/10], Step [94/94], Loss: 0.0199, Train Acc: 99.13%, Test Acc: 98.30%
