fraction,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
1,98.4,98.4,75.9,98.4,75.9,98.4,75.9
0.9,98.4,98.3,70.95,97.7,79.05,57.15,50.0
0.8,98.4,98.2,73.8,97.35,77.75,66.4,50.0
0.7,98.4,97.95,86.95,97.7,68.15,49.1,50.0
0.65,98.4,97.5,93.5,97.55,70.4,48.9,50.0
0.6,98.4,96.8,96.35,93.7,72.4,49.4,50.0
0.55,98.4,96.25,96.55,96.5,67.8,50.05,50.0
0.5,98.4,95.45,96.15,89.0,71.6,50.05,50.0
0.45,98.4,93.6,94.3,91.7,66.8,49.9,50.0
0.4,98.4,91.8,90.3,91.15,67.45,50.0,50.0
0.35,98.4,89.2,85.3,89.2,67.15,49.75,50.05
0.3,98.4,87.85,83.7,87.6,63.85,50.0,50.0
0.25,98.4,79.7,71.65,82.7,75.5,49.7,63.15
0.2,98.4,79.15,70.9,83.65,61.95,56.35,54.15
0.15,98.4,77.85,67.6,66.35,56.8,52.75,54.2
0.1,98.4,90.65,85.75,63.05,58.75,48.9,48.65
0.05,98.4,91.95,92.0,55.35,52.1,57.1,62.4
0.01,98.4,50.0,50.0,50.0,50.0,50.0,50.0
0.005,98.4,50.0,50.0,50.0,50.0,50.0,50.0
0.001,98.4,50.0,50.0,50.0,50.0,50.0,50.0
