Epoch [1/10], Step [1/88], Loss: 1.1935, Train Acc: 50.00%, Test Acc: 48.86%
Epoch [1/10], Step [2/88], Loss: 0.7324, Train Acc: 49.22%, Test Acc: 94.04%
Epoch [1/10], Step [3/88], Loss: 0.3655, Train Acc: 64.84%, Test Acc: 100.00%
Epoch [1/10], Step [4/88], Loss: 0.1703, Train Acc: 73.63%, Test Acc: 100.00%
Epoch [1/10], Step [5/88], Loss: 0.0810, Train Acc: 78.91%, Test Acc: 100.00%
Epoch [1/10], Step [6/88], Loss: 0.0409, Train Acc: 82.42%, Test Acc: 100.00%
Epoch [1/10], Step [7/88], Loss: 0.0236, Train Acc: 84.93%, Test Acc: 100.00%
Epoch [1/10], Step [8/88], Loss: 0.0136, Train Acc: 86.82%, Test Acc: 100.00%
Epoch [1/10], Step [9/88], Loss: 0.0144, Train Acc: 88.28%, Test Acc: 100.00%
Epoch [1/10], Step [10/88], Loss: 0.0053, Train Acc: 89.45%, Test Acc: 100.00%
Epoch [1/10], Step [11/88], Loss: 0.0030, Train Acc: 90.41%, Test Acc: 100.00%
Epoch [1/10], Step [12/88], Loss: 0.0049, Train Acc: 91.21%, Test Acc: 100.00%
Epoch [1/10], Step [13/88], Loss: 0.0014, Train Acc: 91.89%, Test Acc: 100.00%
Epoch [1/10], Step [14/88], Loss: 0.0015, Train Acc: 92.47%, Test Acc: 100.00%
Epoch [1/10], Step [15/88], Loss: 0.0007, Train Acc: 92.97%, Test Acc: 100.00%
Epoch [1/10], Step [16/88], Loss: 0.0006, Train Acc: 93.41%, Test Acc: 100.00%
Epoch [1/10], Step [17/88], Loss: 0.0005, Train Acc: 93.80%, Test Acc: 100.00%
Epoch [1/10], Step [18/88], Loss: 0.0005, Train Acc: 94.14%, Test Acc: 100.00%
Epoch [1/10], Step [19/88], Loss: 0.0003, Train Acc: 94.45%, Test Acc: 100.00%
Epoch [1/10], Step [20/88], Loss: 0.0003, Train Acc: 94.73%, Test Acc: 100.00%
Epoch [1/10], Step [21/88], Loss: 0.0009, Train Acc: 94.98%, Test Acc: 100.00%
Epoch [1/10], Step [22/88], Loss: 0.0001, Train Acc: 95.21%, Test Acc: 100.00%
Epoch [1/10], Step [23/88], Loss: 0.0003, Train Acc: 95.41%, Test Acc: 100.00%
Epoch [1/10], Step [24/88], Loss: 0.0002, Train Acc: 95.61%, Test Acc: 100.00%
Epoch [1/10], Step [25/88], Loss: 0.0002, Train Acc: 95.78%, Test Acc: 100.00%
Epoch [1/10], Step [26/88], Loss: 0.0001, Train Acc: 95.94%, Test Acc: 100.00%
Epoch [1/10], Step [27/88], Loss: 0.0005, Train Acc: 96.09%, Test Acc: 100.00%
Epoch [1/10], Step [28/88], Loss: 0.0003, Train Acc: 96.23%, Test Acc: 100.00%
Epoch [1/10], Step [29/88], Loss: 0.0001, Train Acc: 96.36%, Test Acc: 100.00%
Epoch [1/10], Step [30/88], Loss: 0.0001, Train Acc: 96.48%, Test Acc: 100.00%
Epoch [1/10], Step [31/88], Loss: 0.0001, Train Acc: 96.60%, Test Acc: 100.00%
Epoch [1/10], Step [32/88], Loss: 0.0001, Train Acc: 96.70%, Test Acc: 100.00%
Epoch [1/10], Step [33/88], Loss: 0.0001, Train Acc: 96.80%, Test Acc: 100.00%
Epoch [1/10], Step [34/88], Loss: 0.0003, Train Acc: 96.90%, Test Acc: 100.00%
Epoch [1/10], Step [35/88], Loss: 0.0001, Train Acc: 96.99%, Test Acc: 100.00%
Epoch [1/10], Step [36/88], Loss: 0.0001, Train Acc: 97.07%, Test Acc: 100.00%
Epoch [1/10], Step [37/88], Loss: 0.0001, Train Acc: 97.15%, Test Acc: 100.00%
Epoch [1/10], Step [38/88], Loss: 0.0001, Train Acc: 97.22%, Test Acc: 100.00%
Epoch [1/10], Step [39/88], Loss: 0.0003, Train Acc: 97.30%, Test Acc: 100.00%
Epoch [1/10], Step [40/88], Loss: 0.0000, Train Acc: 97.36%, Test Acc: 100.00%
Epoch [1/10], Step [41/88], Loss: 0.0001, Train Acc: 97.43%, Test Acc: 100.00%
Epoch [1/10], Step [42/88], Loss: 0.0001, Train Acc: 97.49%, Test Acc: 100.00%
Epoch [1/10], Step [43/88], Loss: 0.0001, Train Acc: 97.55%, Test Acc: 100.00%
Epoch [1/10], Step [44/88], Loss: 0.0001, Train Acc: 97.60%, Test Acc: 100.00%
Epoch [1/10], Step [45/88], Loss: 0.0001, Train Acc: 97.66%, Test Acc: 100.00%
Epoch [1/10], Step [46/88], Loss: 0.0001, Train Acc: 97.71%, Test Acc: 100.00%
Epoch [1/10], Step [47/88], Loss: 0.0001, Train Acc: 97.76%, Test Acc: 100.00%
Epoch [1/10], Step [48/88], Loss: 0.0001, Train Acc: 97.80%, Test Acc: 100.00%
Epoch [1/10], Step [49/88], Loss: 0.0001, Train Acc: 97.85%, Test Acc: 100.00%
Epoch [1/10], Step [50/88], Loss: 0.0001, Train Acc: 97.89%, Test Acc: 100.00%
Epoch [1/10], Step [51/88], Loss: 0.0002, Train Acc: 97.93%, Test Acc: 100.00%
Epoch [1/10], Step [52/88], Loss: 0.0000, Train Acc: 97.97%, Test Acc: 100.00%
Epoch [1/10], Step [53/88], Loss: 0.0001, Train Acc: 98.01%, Test Acc: 100.00%
Epoch [1/10], Step [54/88], Loss: 0.0004, Train Acc: 98.05%, Test Acc: 100.00%
Epoch [1/10], Step [55/88], Loss: 0.0001, Train Acc: 98.08%, Test Acc: 100.00%
Epoch [1/10], Step [56/88], Loss: 0.0000, Train Acc: 98.12%, Test Acc: 100.00%
Epoch [1/10], Step [57/88], Loss: 0.0001, Train Acc: 98.15%, Test Acc: 100.00%
Epoch [1/10], Step [58/88], Loss: 0.0001, Train Acc: 98.18%, Test Acc: 100.00%
Epoch [1/10], Step [59/88], Loss: 0.0001, Train Acc: 98.21%, Test Acc: 100.00%
