fraction,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
1,80.0,80.0,49.82142857142857,80.0,49.82142857142857,80.0,49.82142857142857
0.9,80.0,79.75,49.82142857142857,77.64285714285714,48.857142857142854,49.82142857142857,46.25
0.8,80.0,79.5,49.82142857142857,69.28571428571429,47.07142857142857,49.82142857142857,49.214285714285715
0.7,80.0,79.46428571428571,55.5,65.32142857142857,52.25,49.82142857142857,49.82142857142857
0.65,80.0,79.5,49.92857142857143,68.5,52.035714285714285,46.75,46.964285714285715
0.6,80.0,78.92857142857143,68.57142857142857,67.75,49.285714285714285,50.32142857142857,49.82142857142857
0.55,80.0,77.5,67.39285714285714,58.964285714285715,50.67857142857143,49.535714285714285,48.357142857142854
0.5,80.0,75.21428571428571,68.57142857142857,58.642857142857146,51.92857142857143,41.92857142857143,45.714285714285715
0.45,80.0,76.96428571428571,78.92857142857143,56.42857142857143,51.17857142857143,48.535714285714285,48.07142857142857
0.4,80.0,76.0,79.39285714285714,53.57142857142857,49.285714285714285,49.82142857142857,49.82142857142857
0.35,80.0,74.92857142857143,77.92857142857143,53.92857142857143,48.0,30.035714285714285,50.714285714285715
0.3,80.0,74.07142857142857,76.85714285714286,53.964285714285715,51.67857142857143,45.392857142857146,57.75
0.25,80.0,71.53571428571429,72.78571428571429,51.964285714285715,47.57142857142857,42.464285714285715,46.357142857142854
0.2,80.0,66.42857142857143,67.53571428571429,52.5,48.32142857142857,28.535714285714285,49.82142857142857
0.15,80.0,66.42857142857143,67.53571428571429,53.82142857142857,46.57142857142857,49.892857142857146,49.82142857142857
0.1,80.0,63.5,63.5,50.5,47.857142857142854,49.82142857142857,49.82142857142857
0.05,80.0,63.5,63.5,48.785714285714285,51.5,49.82142857142857,49.82142857142857
0.01,80.0,49.82142857142857,49.82142857142857,49.82142857142857,49.82142857142857,49.82142857142857,49.82142857142857
0.005,80.0,49.82142857142857,49.82142857142857,49.82142857142857,49.82142857142857,49.82142857142857,49.82142857142857
0.001,80.0,49.82142857142857,49.82142857142857,49.82142857142857,49.82142857142857,49.82142857142857,49.82142857142857
