fraction,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.65,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.55,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.4,100.0,100.0,100.0,100.0,100.0,99.92857142857143,100.0
0.35,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.2,100.0,100.0,100.0,100.0,100.0,98.25,100.0
0.15,100.0,100.0,100.0,100.0,100.0,99.64285714285714,51.17857142857143
0.1,100.0,100.0,100.0,99.64285714285714,100.0,97.25,50.82142857142857
0.05,100.0,100.0,100.0,88.78571428571429,97.82142857142857,50.82142857142857,50.82142857142857
0.01,100.0,49.17857142857143,49.17857142857143,59.75,61.107142857142854,50.82142857142857,50.82142857142857
0.005,100.0,49.17857142857143,49.17857142857143,51.07142857142857,52.67857142857143,50.82142857142857,50.82142857142857
0.001,100.0,50.82142857142857,50.82142857142857,50.82142857142857,50.82142857142857,50.82142857142857,50.82142857142857
