fraction,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.7,100.0,100.0,100.0,100.0,100.0,0.16666666666666666,0.0
0.65,100.0,100.0,100.0,100.0,100.0,73.9,2.8
0.6,100.0,100.0,100.0,100.0,100.0,40.06666666666667,4.133333333333334
0.55,100.0,100.0,100.0,100.0,100.0,23.633333333333333,0.6
0.5,100.0,100.0,100.0,100.0,100.0,49.833333333333336,12.1
0.45,100.0,100.0,100.0,100.0,100.0,51.36666666666667,50.0
0.4,100.0,100.0,100.0,100.0,100.0,72.86666666666666,75.36666666666666
0.35,100.0,100.0,100.0,100.0,100.0,36.2,48.0
0.3,100.0,100.0,100.0,100.0,100.0,50.13333333333333,50.13333333333333
0.25,100.0,100.0,100.0,100.0,99.73333333333333,50.13333333333333,50.13333333333333
0.2,100.0,100.0,100.0,100.0,98.0,50.13333333333333,50.166666666666664
0.15,100.0,100.0,100.0,100.0,94.26666666666667,65.56666666666666,99.56666666666666
0.1,100.0,100.0,100.0,100.0,89.0,90.73333333333333,99.86666666666666
0.05,100.0,100.0,100.0,77.13333333333334,76.73333333333333,96.16666666666667,100.0
0.01,100.0,92.16666666666667,92.06666666666666,64.76666666666667,48.7,50.1,64.23333333333333
0.005,100.0,67.63333333333334,67.43333333333334,58.7,52.733333333333334,50.13333333333333,100.0
0.001,100.0,50.13333333333333,50.13333333333333,50.13333333333333,50.13333333333333,50.13333333333333,50.13333333333333
