fraction,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
1,100.0,100.0,88.53571428571429,100.0,88.53571428571429,100.0,88.53571428571429
0.9,100.0,100.0,88.75,98.28571428571429,87.35714285714286,84.71428571428571,84.96428571428571
0.8,100.0,100.0,86.25,94.82142857142857,86.21428571428571,86.46428571428571,83.14285714285714
0.7,100.0,100.0,90.35714285714286,88.67857142857143,84.35714285714286,87.78571428571429,79.78571428571429
0.65,100.0,100.0,89.85714285714286,88.32142857142857,83.0,87.60714285714286,84.53571428571429
0.6,100.0,100.0,90.96428571428571,87.35714285714286,85.21428571428571,87.75,50.07142857142857
0.55,100.0,100.0,90.25,84.17857142857143,78.0,50.07142857142857,50.07142857142857
0.5,100.0,99.71428571428571,94.46428571428571,79.21428571428571,78.25,50.07142857142857,50.07142857142857
0.45,100.0,94.28571428571429,99.35714285714286,79.78571428571429,80.25,50.07142857142857,50.07142857142857
0.4,100.0,90.78571428571429,100.0,78.07142857142857,75.85714285714286,50.07142857142857,50.07142857142857
0.35,100.0,87.5,93.03571428571429,71.0,75.03571428571429,50.07142857142857,50.07142857142857
0.3,100.0,81.10714285714286,64.32142857142857,68.46428571428571,74.64285714285714,41.392857142857146,46.07142857142857
0.25,100.0,68.32142857142857,49.92857142857143,67.75,66.89285714285714,27.857142857142858,45.67857142857143
0.2,100.0,68.10714285714286,49.92857142857143,67.07142857142857,65.35714285714286,50.07142857142857,50.07142857142857
0.15,100.0,72.60714285714286,71.35714285714286,62.464285714285715,61.32142857142857,65.64285714285714,75.96428571428571
0.1,100.0,73.64285714285714,73.25,61.357142857142854,60.357142857142854,41.107142857142854,50.07142857142857
0.05,100.0,50.07142857142857,50.07142857142857,45.75,52.32142857142857,20.928571428571427,28.928571428571427
0.01,100.0,50.07142857142857,50.07142857142857,50.07142857142857,50.07142857142857,50.07142857142857,50.07142857142857
0.005,100.0,50.07142857142857,50.07142857142857,50.07142857142857,50.07142857142857,50.07142857142857,50.07142857142857
0.001,100.0,50.07142857142857,50.07142857142857,50.07142857142857,50.07142857142857,50.07142857142857,50.07142857142857
