fraction,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
1,100.0,100.0,87.82142857142857,100.0,87.82142857142857,100.0,87.82142857142857
0.9,100.0,100.0,90.10714285714286,98.57142857142857,87.57142857142857,75.28571428571429,83.96428571428571
0.8,100.0,100.0,87.75,96.14285714285714,85.07142857142857,83.75,84.60714285714286
0.7,100.0,99.96428571428571,88.10714285714286,92.75,84.28571428571429,87.75,82.25
0.65,100.0,100.0,90.82142857142857,92.57142857142857,84.78571428571429,86.14285714285714,80.75
0.6,100.0,99.96428571428571,86.89285714285714,89.75,84.85714285714286,82.42857142857143,80.32142857142857
0.55,100.0,99.46428571428571,83.46428571428571,87.21428571428571,81.03571428571429,88.57142857142857,62.535714285714285
0.5,100.0,100.0,87.07142857142857,85.10714285714286,80.85714285714286,83.17857142857143,73.96428571428571
0.45,100.0,98.32142857142857,87.5,84.75,82.57142857142857,83.10714285714286,66.71428571428571
0.4,100.0,96.21428571428571,88.10714285714286,82.32142857142857,79.71428571428571,81.39285714285714,49.5
0.35,100.0,96.85714285714286,98.28571428571429,77.03571428571429,77.64285714285714,49.5,49.5
0.3,100.0,86.78571428571429,100.0,76.21428571428571,76.85714285714286,49.5,49.5
0.25,100.0,77.71428571428571,82.64285714285714,76.07142857142857,67.78571428571429,73.17857142857143,49.5
0.2,100.0,74.14285714285714,71.57142857142857,61.92857142857143,70.17857142857143,84.92857142857143,49.5
0.15,100.0,77.42857142857143,74.67857142857143,65.96428571428571,68.10714285714286,49.5,49.5
0.1,100.0,74.5,74.85714285714286,59.32142857142857,60.535714285714285,49.5,49.5
0.05,100.0,49.5,49.5,58.75,57.714285714285715,49.5,49.5
0.01,100.0,49.5,49.5,50.785714285714285,49.5,49.5,49.5
0.005,100.0,49.5,49.5,49.5,49.5,49.5,49.5
0.001,100.0,49.5,49.5,49.5,49.5,49.5,49.5
